,username,text,hashtags,created_at,date,hour,,,,,
116,248230172,Its clear things are getting bad when Xi Jinping needs to publicly tell everyone to stop questioning him.,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
117,1.47177723663446E+018,"e Bitcoin Value Bitcoin Halving Bitcoin Wallet Bitcoin chart, Crypto News BTC,",[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
118,1.12900144440801E+018,Sad news.,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
119,1.50446475880362E+018,Social media exposes China's blatant human rights violations in Shanghai amid Zero-COVID policyRead more At:,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
120,1.23881407325035E+018,We definitely had an uptick of post infarction VSDs during the first wave of COVID when people were terrified of going into the hospital so they stayed at home with their STEMIs until they were on the verge of death. Cant say what its been lately though,[],2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
121,9.50699417195164E+017,"Follow all the latest from the counts across Berkshire. bringing you updates from , in Wokingham and in Reading! Live blog here","['LocalElections2022', 'slough']",2022-05-06T10:55:54.000Z,2022-05-06,10,,,,,
122,1.20839191191825E+018,"AFL round eight LIVE updates: Dogs and Power off to entertaining start, North face high-flying Freo",[],2022-05-06T10:55:53.000Z,2022-05-06,10,,,,,
123,343136829,Thousands refuse to evacuate largest U.S. wildfire in New Mexico via,[],2022-05-06T10:55:53.000Z,2022-05-06,10,,,,,
124,29324390,LA city attorney charges suspect in Chappelle attack...,[],2022-05-06T10:55:53.000Z,2022-05-06,10,,,,,
125,424516183,Interview: Success in Belgiums high-tech job market,[],2022-05-06T10:55:53.000Z,2022-05-06,10,,,,,
126,23817447,Volvos entire range will be electrified by,[],2022-05-06T10:55:52.000Z,2022-05-06,10,,,,,
127,1138511886,"Disabled children ""abandoned"" in Ukrainian institutions - BBC News via",[],2022-05-06T10:55:52.000Z,2022-05-06,10,,,,,
128,21367920,Yeah!! And I got the grass cut before the rain and I wont melt at the FC game tomorrow,[],2022-05-06T10:55:52.000Z,2022-05-06,10,,,,,
129,9.82283668742922E+017,What a waste of time and energy! Relentless coverage of COVID deaths to expose the governments lies would have been better!,[],2022-05-06T10:55:52.000Z,2022-05-06,10,,,,,
130,1.49863948793269E+018,some good news,[],2022-05-06T10:55:52.000Z,2022-05-06,10,,,,,
131,137471240,film claims K 'mules' illegally harvested ballots for drop boxes. Those claims have gaping holes,[],2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
132,1.45845510740255E+018,Great! This is a great news! nice game,[],2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
133,1.50915771475216E+018,"Hello, gmCPOS has great news lately % completed % completed &amp; soonStep by step getting more stronger, are you ready to take this opportunity!CposBtc","['movetoearn', 'cpospad', 'newlisting', 'staking', 'hodl', 'loading']",2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
134,14296273,"""We want to elect MPs in a majority of constituencies to stop Emmanuel Macron from pursuing his unjust and brutal policies and beat the far-right.""",[],2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
135,233249182,"I think next month,, the good news now is for Gucci ,,,",[],2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
136,9.09532867322974E+017,Fake news daw,[],2022-05-06T10:55:51.000Z,2022-05-06,10,,,,,
137,1.44918636175229E+018,feeding more bullsit. Contradictions since this whole shit started. Just stop the flu is renamed covid period not any worse. All to push vaccine so you can control the population and put trackers in ppl. Mind your own business,[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
138,27404490,Bursa Malaysia remains negative at mid-morning | Malay Mail,[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
139,854065189,"GOOD NEWS!!Tears of Themis stream tomorrow is on! Aiming around PM HST so I can eat lunch and get myself presentable lol. Artem and Marius, break me",[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
140,1.31234789760268E+018,Blackburn handed setback in search for Tony Mowbrays replacement |BAKHTECH,[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
141,1.4433690284546E+018,"UK Conservatives Lose London Strongholds, in Blow to Johnson | WorldNews",[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
142,95229525,Awesome video ! I share it now to support you ! Fresh News:,"['ConsciousPlanet', 'SaveSoilMovement', 'SaveSoil', 'LetsMakeItHappen']",2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
143,127547640,Republican corporate tax cuts failed before COVID-19 and added to the deficit.,[],2022-05-06T10:55:50.000Z,2022-05-06,10,,,,,
144,57320024,Ogbonaya Onu declares to also run for president | The Guardian Nigeria News - Nigeria and World News,[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
145,392754619,"Forget Metro, Sports, News, Weather, National, International, Culture desks and sections of newspapers and web sites.They really all should be combined into one accurately titled category: Character Assassination",[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
146,1.11332123600267E+018,How often is blackmail a national news item?,[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
147,119364625,Former Dublin airport policeman became serial money launderer for criminal gangs - National Crime Agency,[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
148,271216592,"One woman leaves huge mess at Golden Village cinema, wipes hands on seat - The Independent Singapore News",[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
149,62706462,"don't need more children without parents. Start caring about people, not just the idea of a fetus. Respect individual rights! And, outlaw ViagraInfant foster parents wanted in Clark County ""a definite need"" , say officials",[],2022-05-06T10:55:49.000Z,2022-05-06,10,,,,,
150,58819992,Hard-line former cop to be Hong Kongs next leader,[],2022-05-06T10:55:48.000Z,2022-05-06,10,,,,,
151,1.21345582101668E+018,Geo news,[],2022-05-06T10:55:48.000Z,2022-05-06,10,,,,,
152,1.50446475880362E+018,"Baluch was a -year-old mother of two children and a schoolteacher. Late last month, on a university campus in Karachi, Pakistans biggest city, she detonated a suicide bomb, killing herself and four others, including three Chinese teachers.",[],2022-05-06T10:55:48.000Z,2022-05-06,10,,,,,
153,222147096,This is what sound individuals do..they question everything and think logically.Not just lapping any news up because you have the pathological desire to be right,[],2022-05-06T10:55:48.000Z,2022-05-06,10,,,,,
154,19706851,"Tune into today's Twitter Space with , and , covering: Russia's preparations for May th The impact of sanctions on the assets of Russian oligarchs",['Ukraine'],2022-05-06T10:55:48.000Z,2022-05-06,10,,,,,
156,1.42268096791597E+018,Im going to magically wake up tomorrow and not have COVID at all its gonna be lit,[],2022-05-06T10:55:47.000Z,2022-05-06,10,,,,,
157,65576432,Sir. With due respect. Tribune reported this news in March. This tax increment was already being negotiated when PTI was in power.,[],2022-05-06T10:55:47.000Z,2022-05-06,10,,,,,
